epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4284.91,1.11068,0.64749,1.24715,0.78142,0.74797,0.8213,0.47566,1.44933,0.89405,1.40324,0.00172694,0.00172694,0.00172694
43,4388.38,1.10454,0.63983,1.24744,0.76716,0.74688,0.81616,0.47249,1.45375,0.89923,1.41613,0.00172028,0.00172028,0.00172028
44,4488.41,1.10668,0.64143,1.24626,0.72737,0.77005,0.79887,0.45971,1.45802,0.91926,1.42611,0.00171362,0.00171362,0.00171362
45,4588.48,1.09101,0.6268,1.23274,0.77701,0.76551,0.82084,0.47639,1.45135,0.88504,1.4211,0.00170696,0.00170696,0.00170696
46,4691.87,1.07791,0.62241,1.22275,0.75778,0.7529,0.82228,0.47724,1.44608,0.8905,1.42396,0.0017003,0.0017003,0.0017003
47,4795.23,1.07201,0.61946,1.21755,0.75832,0.75398,0.81226,0.47136,1.44861,0.89624,1.4244,0.00169364,0.00169364,0.00169364
48,4895.17,1.06865,0.6164,1.21934,0.74878,0.75706,0.80944,0.47028,1.45878,0.90668,1.4391,0.00168698,0.00168698,0.00168698
49,4995.3,1.05566,0.60967,1.21045,0.77438,0.77418,0.82141,0.47695,1.44073,0.88584,1.4229,0.00168032,0.00168032,0.00168032
50,5095.31,1.05011,0.60266,1.20353,0.74535,0.77916,0.81429,0.47376,1.45097,0.89171,1.43445,0.00167366,0.00167366,0.00167366
51,5195.32,1.04817,0.60552,1.20211,0.78272,0.74125,0.81884,0.47909,1.42621,0.87809,1.4126,0.001667,0.001667,0.001667
52,5298.94,1.03821,0.59482,1.19195,0.76528,0.78154,0.81529,0.48175,1.42087,0.88349,1.41281,0.00166034,0.00166034,0.00166034
53,5402.53,1.02641,0.58537,1.18938,0.7867,0.75684,0.81976,0.47725,1.43796,0.90046,1.42387,0.00165368,0.00165368,0.00165368
54,5502.71,1.01669,0.58238,1.18434,0.77264,0.76677,0.82132,0.47453,1.44108,0.88761,1.42638,0.00164702,0.00164702,0.00164702
55,5602.99,1.00697,0.57862,1.17409,0.76084,0.77617,0.8194,0.47683,1.44388,0.88324,1.42628,0.00164036,0.00164036,0.00164036
56,5703,1.01008,0.57268,1.17459,0.77397,0.75929,0.81981,0.48504,1.42409,0.88642,1.41485,0.0016337,0.0016337,0.0016337
57,5806.48,1.00309,0.57933,1.17144,0.75275,0.78553,0.82067,0.4747,1.44668,0.87669,1.43128,0.00162704,0.00162704,0.00162704
58,5906.48,0.99286,0.56895,1.16581,0.7875,0.75242,0.82376,0.4839,1.42483,0.87739,1.42014,0.00162038,0.00162038,0.00162038
59,6006.44,0.98745,0.56478,1.16391,0.78379,0.76318,0.82184,0.48155,1.43262,0.88668,1.42128,0.00161372,0.00161372,0.00161372
60,6106.58,0.9772,0.55725,1.15437,0.77229,0.77376,0.82071,0.48418,1.41716,0.88353,1.41497,0.00160706,0.00160706,0.00160706
61,6206.64,0.96249,0.55478,1.14748,0.78943,0.75006,0.81777,0.47312,1.43683,0.88434,1.43323,0.0016004,0.0016004,0.0016004
62,6307.02,0.96274,0.54936,1.13808,0.76877,0.76772,0.81694,0.48464,1.42462,0.87474,1.42286,0.00159374,0.00159374,0.00159374
