Model,Avg Detections,Avg Time (s),Total Detections
Baseline,1.0749690210656753,0.01971629753136428,1735
Baseline+SAHI,1.1431226765799256,0.05479708214231583,1845
P2H,0.7521685254027262,0.02296649523384066,1214
P2H+SAHI,0.8066914498141264,0.062556427059859,1302
