epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,105.603,1.7805,2.21231,1.65385,0.37619,0.40659,0.30408,0.14968,1.83245,25.5753,1.73999,0.0671048,0.000332275,0.000332275
2,206.544,1.7199,1.79656,1.65463,0.46695,0.36314,0.35842,0.17019,1.94409,2.59957,1.80134,0.0341007,0.000661552,0.000661552
3,311.275,1.71733,1.75741,1.65035,0.55899,0.4221,0.46827,0.22032,1.82815,1.89477,1.67266,0.00108056,0.00097474,0.00097474
4,415.66,1.63361,1.59579,1.56657,0.54034,0.48203,0.52984,0.26815,1.71456,1.72044,1.59841,0.000946048,0.000946048,0.000946048
5,519.759,1.58049,1.47543,1.5472,0.6577,0.51628,0.59558,0.31707,1.66123,1.47564,1.54198,0.000905463,0.000905463,0.000905463
6,624.028,1.5313,1.37982,1.5044,0.63249,0.52495,0.59988,0.32236,1.65981,1.55487,1.54135,0.000855018,0.000855018,0.000855018
7,728.388,1.50717,1.32272,1.48904,0.63605,0.59944,0.65636,0.36048,1.6055,1.3348,1.48544,0.000795954,0.000795954,0.000795954
8,833.032,1.46981,1.23933,1.45874,0.6665,0.61127,0.66969,0.36015,1.60682,1.33141,1.49836,0.000729725,0.000729725,0.000729725
9,934.752,1.44698,1.20177,1.43485,0.71146,0.60768,0.69075,0.38039,1.57691,1.29895,1.47728,0.000657963,0.000657963,0.000657963
10,1039.86,1.41842,1.12202,1.4223,0.74907,0.66974,0.75398,0.41356,1.56623,1.14881,1.46032,0.000582435,0.000582435,0.000582435
11,1146.24,1.38443,0.98371,1.44547,0.74697,0.69577,0.76201,0.42742,1.53795,1.14605,1.43285,0.000505,0.000505,0.000505
12,1251.44,1.36808,0.93805,1.42877,0.7427,0.66258,0.74607,0.42545,1.52521,1.16344,1.43629,0.000427565,0.000427565,0.000427565
13,1353.05,1.32984,0.89654,1.40133,0.76241,0.69511,0.77597,0.43918,1.52344,1.08297,1.44379,0.000352037,0.000352037,0.000352037
14,1458.24,1.29689,0.83615,1.37856,0.77286,0.726,0.80244,0.4547,1.52465,1.04071,1.42895,0.000280275,0.000280275,0.000280275
15,1563.38,1.27663,0.79377,1.35972,0.76563,0.74979,0.81684,0.47385,1.48049,0.98523,1.40228,0.000214046,0.000214046,0.000214046
16,1668.21,1.24596,0.76117,1.3504,0.79872,0.73801,0.82402,0.4755,1.48034,0.97236,1.40709,0.000154982,0.000154982,0.000154982
17,1772.03,1.22419,0.73381,1.32321,0.76316,0.77463,0.81619,0.47001,1.5033,0.96512,1.4103,0.000104537,0.000104537,0.000104537
18,1873.05,1.20122,0.71017,1.30945,0.78565,0.75312,0.82415,0.48038,1.47165,0.94824,1.39139,6.39518e-05,6.39518e-05,6.39518e-05
19,1977.56,1.18936,0.70192,1.3038,0.80486,0.74625,0.83232,0.4925,1.44482,0.92828,1.37843,3.4227e-05,3.4227e-05,3.4227e-05
20,2082.8,1.18027,0.68764,1.29494,0.79298,0.76478,0.83602,0.49546,1.44379,0.91735,1.37572,1.60943e-05,1.60943e-05,1.60943e-05
