epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.737,1.75898,2.21685,1.6537,0.24727,0.25607,0.1788,0.08057,2.05399,6.77198,2.06952,0.0671398,0.000331921,0.000331921
2,218.815,1.77957,1.90057,1.69901,0.51333,0.45558,0.46507,0.21655,1.88481,2.78224,1.77277,0.0341358,0.0006612,0.0006612
3,323.031,1.70375,1.74338,1.64256,0.30642,0.2743,0.23944,0.11535,2.00879,2.90672,1.89806,0.00111564,0.000974395,0.000974395
4,423.863,1.64486,1.60439,1.57022,0.55397,0.47207,0.4999,0.24631,1.76281,2.17045,1.65865,0.000946048,0.000946048,0.000946048
5,527.757,1.59911,1.49147,1.55265,0.48642,0.48759,0.48903,0.25172,1.70926,1.80781,1.58989,0.000905463,0.000905463,0.000905463
6,631.531,1.54216,1.39033,1.50416,0.54822,0.34535,0.39066,0.20271,1.81202,2.5267,1.70984,0.000855018,0.000855018,0.000855018
7,732.081,1.51084,1.32127,1.48443,0.70728,0.59175,0.67862,0.35924,1.63895,1.331,1.53517,0.000795954,0.000795954,0.000795954
8,835.863,1.47962,1.23053,1.45839,0.70039,0.61151,0.69167,0.35276,1.68524,1.33642,1.54144,0.000729725,0.000729725,0.000729725
9,936.379,1.44149,1.17311,1.43113,0.69322,0.60169,0.69462,0.3744,1.59775,1.27829,1.49786,0.000657963,0.000657963,0.000657963
10,1040.41,1.42377,1.1282,1.42232,0.72689,0.67313,0.74775,0.40822,1.59881,1.16084,1.47141,0.000582435,0.000582435,0.000582435
11,1145.37,1.39066,0.98231,1.45659,0.71142,0.67425,0.73617,0.39525,1.62242,1.17543,1.49034,0.000505,0.000505,0.000505
12,1245.78,1.35972,0.91996,1.42228,0.76828,0.66603,0.75606,0.40748,1.60187,1.14367,1.48324,0.000427565,0.000427565,0.000427565
13,1346.05,1.33202,0.87414,1.4053,0.72032,0.68366,0.75847,0.43229,1.53768,1.11128,1.43675,0.000352037,0.000352037,0.000352037
14,1449.39,1.3027,0.82775,1.3754,0.78663,0.71134,0.80656,0.45745,1.51137,1.02246,1.41897,0.000280275,0.000280275,0.000280275
15,1552.77,1.27961,0.78853,1.36242,0.79003,0.72776,0.81963,0.47375,1.48208,0.98076,1.40039,0.000214046,0.000214046,0.000214046
16,1656.4,1.25198,0.75884,1.349,0.79878,0.74894,0.8321,0.47954,1.4751,0.95681,1.38667,0.000154982,0.000154982,0.000154982
17,1760.06,1.22248,0.72207,1.31817,0.75729,0.79023,0.83115,0.48481,1.47602,0.94561,1.38684,0.000104537,0.000104537,0.000104537
18,1863.76,1.20102,0.70093,1.3097,0.7871,0.74911,0.83608,0.49175,1.45373,0.93386,1.37539,6.39518e-05,6.39518e-05,6.39518e-05
19,1967.31,1.18616,0.68803,1.29838,0.78506,0.76255,0.84451,0.50055,1.44397,0.90794,1.36513,3.4227e-05,3.4227e-05,3.4227e-05
20,2070.7,1.18219,0.68324,1.29117,0.78991,0.7685,0.84584,0.49925,1.44433,0.90371,1.36556,1.60943e-05,1.60943e-05,1.60943e-05
