epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,6215.11,1.24524,0.80466,1.71545,0.73723,0.72448,0.78916,0.44852,1.53157,1.05879,1.8783,0.00172694,0.00172694,0.00172694
43,6364.58,1.2261,0.79306,1.70255,0.72612,0.74282,0.79156,0.44346,1.53569,1.02229,1.88557,0.00172028,0.00172028,0.00172028
44,6510.58,1.22735,0.79004,1.69979,0.73555,0.73706,0.78463,0.4368,1.55246,1.05148,1.90517,0.00171362,0.00171362,0.00171362
45,6656.48,1.21709,0.78211,1.68563,0.75254,0.73611,0.79352,0.45218,1.52881,1.02706,1.87903,0.00170696,0.00170696,0.00170696
46,6805.91,1.21814,0.78974,1.69279,0.75905,0.73305,0.79633,0.45131,1.53607,1.00661,1.88525,0.0017003,0.0017003,0.0017003
47,6952.32,1.20357,0.76781,1.67697,0.75137,0.75353,0.80769,0.45598,1.52769,1.00169,1.87124,0.00169364,0.00169364,0.00169364
48,7101.53,1.19975,0.76348,1.67273,0.73281,0.75737,0.7929,0.45192,1.50195,1.01242,1.86154,0.00168698,0.00168698,0.00168698
49,7247.68,1.19196,0.75822,1.66271,0.73102,0.74255,0.79603,0.45621,1.51132,1.01333,1.86906,0.00168032,0.00168032,0.00168032
50,7397.68,1.19979,0.76075,1.66896,0.75113,0.75382,0.79951,0.45868,1.52005,0.99039,1.8697,0.00167366,0.00167366,0.00167366
51,7547.17,1.17521,0.74381,1.65227,0.73266,0.75986,0.80693,0.45627,1.53639,0.97976,1.89139,0.001667,0.001667,0.001667
52,7693.48,1.17287,0.73013,1.6474,0.74912,0.76066,0.80783,0.46499,1.49552,0.98324,1.85827,0.00166034,0.00166034,0.00166034
53,7843.45,1.17065,0.72992,1.64183,0.74468,0.75072,0.80514,0.45858,1.5074,0.99321,1.86325,0.00165368,0.00165368,0.00165368
54,7990.19,1.16492,0.71979,1.63885,0.7746,0.7283,0.81025,0.46587,1.49523,0.98649,1.85472,0.00164702,0.00164702,0.00164702
55,8139.52,1.16059,0.71107,1.63387,0.7369,0.77371,0.81105,0.46615,1.50475,0.95701,1.85893,0.00164036,0.00164036,0.00164036
56,8289.07,1.14719,0.71125,1.62336,0.75264,0.75915,0.80805,0.46896,1.49003,0.97103,1.85401,0.0016337,0.0016337,0.0016337
57,8438.26,1.1454,0.70986,1.61856,0.75309,0.76897,0.81648,0.47446,1.49682,0.94996,1.85936,0.00162704,0.00162704,0.00162704
58,8587.78,1.13419,0.70469,1.60907,0.75718,0.76396,0.81308,0.47272,1.48948,0.94154,1.8589,0.00162038,0.00162038,0.00162038
59,8733.82,1.14132,0.70301,1.61389,0.76395,0.74393,0.80548,0.4662,1.49683,0.96165,1.8673,0.00161372,0.00161372,0.00161372
