epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.943,1.79497,2.40549,1.72175,0.22341,0.24341,0.15734,0.07554,2.05851,6.03448,2.03579,0.0671398,0.000331921,0.000331921
2,204.467,1.79444,2.04284,1.80685,0.43577,0.42211,0.3724,0.16597,1.96547,2.05275,1.78676,0.0341358,0.0006612,0.0006612
3,309.166,1.70903,1.85615,1.74054,0.40077,0.40558,0.31246,0.14048,1.95189,12.6333,1.78149,0.00111564,0.000974395,0.000974395
4,409.594,1.67487,1.71286,1.692,0.51568,0.4411,0.43739,0.19849,1.91513,1.96899,1.75448,0.000946048,0.000946048,0.000946048
5,513.653,1.62203,1.57109,1.64866,0.63293,0.51702,0.57144,0.26822,1.80231,1.56335,1.62002,0.000905463,0.000905463,0.000905463
6,617.342,1.5891,1.49062,1.60643,0.70371,0.51415,0.60903,0.30512,1.74039,1.55088,1.60315,0.000855018,0.000855018,0.000855018
7,720.942,1.57987,1.41879,1.59304,0.69047,0.56861,0.64856,0.32117,1.73607,1.40288,1.59556,0.000795954,0.000795954,0.000795954
8,824.559,1.53336,1.32876,1.56804,0.64854,0.62591,0.66364,0.30258,1.81137,1.39923,1.62725,0.000729725,0.000729725,0.000729725
9,924.936,1.51037,1.27463,1.54575,0.69574,0.61232,0.70865,0.34868,1.71521,1.29418,1.56668,0.000657963,0.000657963,0.000657963
10,1028.68,1.47832,1.20107,1.51365,0.71756,0.65375,0.73065,0.35844,1.69513,1.24379,1.55675,0.000582435,0.000582435,0.000582435
11,1133.61,1.41439,1.0407,1.49301,0.76151,0.6158,0.73388,0.36679,1.72443,1.21742,1.5575,0.000505,0.000505,0.000505
12,1237.49,1.38804,0.96629,1.46315,0.74825,0.66983,0.73649,0.36374,1.70035,1.19451,1.54294,0.000427565,0.000427565,0.000427565
13,1337.71,1.37181,0.92683,1.45032,0.76434,0.70343,0.77697,0.40848,1.63346,1.10964,1.50025,0.000352037,0.000352037,0.000352037
14,1441.25,1.33624,0.879,1.42706,0.79875,0.69447,0.79403,0.39991,1.66503,1.09238,1.51643,0.000280275,0.000280275,0.000280275
15,1541.7,1.31875,0.84369,1.41188,0.7641,0.72341,0.80254,0.43153,1.5899,1.03493,1.466,0.000214046,0.000214046,0.000214046
16,1645.36,1.2878,0.80693,1.38785,0.79584,0.72764,0.81338,0.40879,1.65311,1.04932,1.50367,0.000154982,0.000154982,0.000154982
17,1745.69,1.26646,0.78007,1.36442,0.75917,0.75737,0.81624,0.43372,1.5918,1.01731,1.46871,0.000104537,0.000104537,0.000104537
18,1849.46,1.23977,0.75783,1.35643,0.76451,0.7667,0.82519,0.43685,1.6008,1.00457,1.47684,6.39518e-05,6.39518e-05,6.39518e-05
19,1953.15,1.22658,0.74033,1.34403,0.7689,0.77859,0.83424,0.46257,1.53044,0.97007,1.43507,3.4227e-05,3.4227e-05,3.4227e-05
20,2056.72,1.2199,0.73577,1.34196,0.78409,0.77101,0.83873,0.45799,1.55059,0.96418,1.44571,1.60943e-05,1.60943e-05,1.60943e-05
