model_type,batch_size,epochs,learning_rate,final_map50,final_map50_95,final_train_loss,final_val_loss,training_time_min,time_per_epoch_sec,results_dir,map_improvement,improvement_rate
baseline,16,20,0.0005,0.80754,0.50841,0.47701,2.31426,36.56108510891597,109.6832553267479,runs/detect/train,0.34193,0.022795333333333334
baseline,24,20,0.00075,0.80754,0.50841,0.47701,2.31426,35.23788279692332,105.71364839076996,runs/detect/train,0.34193,0.022795333333333334
baseline,32,20,0.001,0.80754,0.50841,0.47701,2.31426,34.64367198149363,103.93101594448089,runs/detect/train,0.34193,0.022795333333333334
